fsize,uhhnum,uleader,subsispercent,poor,soccap,market,others,localrules,college,literate,fracinterest,fracecon,ownland,statefor,enforce,india,kenya,mad,nepal,uganda
24093,300,1,1,0.1333333,3,45,0,0,0.0677245,0.6772446,0.3911111,0.2972445,1,1,0,0,1,0,0,0
500,1000,1,1,0.3,2,10,1,0,0.05,0.625,0.095,0.485,0.9,1,0,0,1,0,0,0
2.3,100,1,0.7,0.02,0,45,0,1,0.1,0.6,0.4751,0.0776,0.5,1,1,0,1,0,0,0
1956,232,1,0.6681035,0.0991379,6,60,1,0.666667,0.2791712,0.8249727,0.7207279,0.5234468,1,1,1,0,1,0,0,0
10000,165,1,1,0.2121212,3,20,1,0,0.4,1,0.3966942,0.5440587,0.7272727,1,0,0,1,0,0,0
800,20,0,1,0.15,0,118.333,1,0,0,0.5308642,0,0.465,1,1,0,0,0,1,0,0
800,13,0,1,0.1538462,0,118.333,1,0,0,0.4761905,0,0.3786982,1,1,0,0,0,1,0,0
800,19,0,1,0.1578947,0,118.333,1,0,0,0.5375,0,0.4819945,1,1,0,0,0,1,0,0
800,4,0,1,0.5,0,118.333,1,0,0,0,0,0.5,1,1,0,0,0,1,0,0
800,23,0,0.9130435,0.1304348,0,118.333,1,0,0,0.3924731,0.3496128,0.4196597,0.9130435,1,0,0,0,1,0,0
800,16,0,1,0.375,0,118.333,1,1,0,0.6111111,0,0.5390625,0.0625,1,1,0,0,1,0,0
400,56,0,1,0.0178571,0,60,1,0.666667,0,0.1136364,0.1913265,0.1026785,1,1,0,0,0,1,0,0
400,31,0,1,0.6451613,0,30,1,0,0,0.7466667,0,0.4953174,0.8709677,1,0,0,0,1,0,0
4000,36,1,1,0,0,180,1,1,0,0.0909091,0.1049383,0.2391975,0.1944444,1,0,0,0,1,0,0
4000,10,0,1,0,0,180,1,1,0,0.1,0.32,0,0,1,0,0,0,1,0,0
520,2,0,1,0,0,400,1,1,0,0.1666667,0,0,1,1,0,0,0,1,0,0
4000,33,1,1,0,0,180,1,0,0,0.1489362,0.1138659,0.2571166,0.1212121,1,0,0,0,1,0,0
2000,5,1,1,0,0,150,1,1,0,0,0,0.32,1,1,1,0,0,1,0,0
520,33,0,1,0,6,400,1,0.5,0,0.0810811,0,0.1652893,1,1,0,0,0,1,0,0
25,36,0,1,0,2,130,1,0,0,0.1639344,0.2777778,0,1,1,0,0,0,0,1,0
45,111,1,0.9459459,0.3153153,4,240.833,0,1,0.0030303,0.2727273,0.1940709,0.5101859,0.9099099,1,0,0,0,0,1,0
128,111,1,0.9459459,0.3153153,4,240.833,1,1,0.0030303,0.2727273,0.1940709,0.5101859,0.9099099,1,0,0,0,0,1,0
